"scanTime","scanID","scanVersion","scanConsole","scanIntelligenceTime","image","registry","repository","tag","digest","twistlockImageID","osDistro","osDistroRelease","osDistroVersion","architecture","size","hostname","issueType","severity","severityCHML","cvss","riskFactors","cve","link","hasFix","status","packageType","packageName","packageVersion","packageLicense","packageBinaryPkgs","packagePath","description","title","cause","complianceID"
"2022-07-26T15:29:54.384Z","62e00872a4be922d1fcd77b6","21.08.514","sc-public-4.cp-cts-twistlock.svc.cluster.local:8183","2022-07-25T16:00:52.609Z","registry.connect.redhat.com/ibm/couchdb3@sha256:6af02557f1f9e12ca4037be71804eb5dc4c53134b937278cb779e58b350afb53","registry.connect.redhat.com","ibm/couchdb3","","sha256:6af02557f1f9e12ca4037be71804eb5dc4c53134b937278cb779e58b350afb53","sha256:afebafc1cc743cfcb5fe1c355c75ec478c2772b232f03da50def49dc0962b6c5","redhat","RHEL8","8.5","amd64","566173895","91fafc2abe5d","vulnerability","moderate","M","7","Attack vector: network,DoS,Has fix,Medium severity,Recent vulnerability","CVE-2022-23218","https://access.redhat.com/errata/RHSA-2022:0896","Y","fixed in 2.28-164.el8_5.3","os","glibc-common","2.28-164.el8","LGPLv2+ and LGPLv2+ with exceptions and GPLv2+ and GPLv2+ with exceptions and BSD and Inner-Net and ISC and Public Domain and GFDL","","","The deprecated compatibility function svcunix_create in the sunrpc module of the GNU C Library (aka glibc) through 2.34 copies its path argument on the stack without validating its length, which may result in a buffer overflow, potentially resulting in a denial of service or (if an application is not built with a stack protector enabled) arbitrary code execution.","","",""
"2022-07-26T15:29:54.384Z","62e00872a4be922d1fcd77b6","21.08.514","sc-public-4.cp-cts-twistlock.svc.cluster.local:8183","2022-07-25T16:00:52.609Z","registry.connect.redhat.com/ibm/couchdb3@sha256:6af02557f1f9e12ca4037be71804eb5dc4c53134b937278cb779e58b350afb53","registry.connect.redhat.com","ibm/couchdb3","","sha256:6af02557f1f9e12ca4037be71804eb5dc4c53134b937278cb779e58b350afb53","sha256:afebafc1cc743cfcb5fe1c355c75ec478c2772b232f03da50def49dc0962b6c5","redhat","RHEL8","8.5","amd64","566173895","91fafc2abe5d","vulnerability","moderate","M","7","Attack vector: network,DoS,Has fix,Medium severity,Recent vulnerability","CVE-2022-23219","https://access.redhat.com/errata/RHSA-2022:0896","Y","fixed in 2.28-164.el8_5.3","os","glibc-common","2.28-164.el8","LGPLv2+ and LGPLv2+ with exceptions and GPLv2+ and GPLv2+ with exceptions and BSD and Inner-Net and ISC and Public Domain and GFDL","","","The deprecated compatibility function clnt_create in the sunrpc module of the GNU C Library (aka glibc) through 2.34 copies its hostname argument on the stack without validating its length, which may result in a buffer overflow, potentially resulting in a denial of service or (if an application is not built with a stack protector enabled) arbitrary code execution.","","",""
"2022-07-26T15:29:54.384Z","62e00872a4be922d1fcd77b6","21.08.514","sc-public-4.cp-cts-twistlock.svc.cluster.local:8183","2022-07-25T16:00:52.609Z","registry.connect.redhat.com/ibm/couchdb3@sha256:6af02557f1f9e12ca4037be71804eb5dc4c53134b937278cb779e58b350afb53","registry.connect.redhat.com","ibm/couchdb3","","sha256:6af02557f1f9e12ca4037be71804eb5dc4c53134b937278cb779e58b350afb53","sha256:afebafc1cc743cfcb5fe1c355c75ec478c2772b232f03da50def49dc0962b6c5","redhat","RHEL8","8.5","amd64","566173895","91fafc2abe5d","vulnerability","moderate","M","7.4","Has fix,Medium severity,Recent vulnerability","CVE-2021-3999","https://access.redhat.com/errata/RHSA-2022:0896","Y","fixed in 2.28-164.el8_5.3","os","glibc-common","2.28-164.el8","LGPLv2+ and LGPLv2+ with exceptions and GPLv2+ and GPLv2+ with exceptions and BSD and Inner-Net and ISC and Public Domain and GFDL","","","The glibc packages provide the standard C libraries (libc), POSIX thread libraries (libpthread), standard math libraries (libm), and the name service cache daemon (nscd) used by multiple programs on the system. Without these libraries, the Linux system cannot function correctly.  Security Fix(es):  * glibc: Off-by-one buffer overflow/underflow in getcwd() (CVE-2021-3999)  * glibc: Stack-based buffer overflow in svcunix_create via long pathnames (CVE-2022-23218)  * glibc: Stack-based buffer overflow in sunrpc clnt_create via a long pathname (CVE-2022-23219)  For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section.","","",""
"2022-07-26T15:29:54.384Z","62e00872a4be922d1fcd77b6","21.08.514","sc-public-4.cp-cts-twistlock.svc.cluster.local:8183","2022-07-25T16:00:52.609Z","registry.connect.redhat.com/ibm/couchdb3@sha256:6af02557f1f9e12ca4037be71804eb5dc4c53134b937278cb779e58b350afb53","registry.connect.redhat.com","ibm/couchdb3","","sha256:6af02557f1f9e12ca4037be71804eb5dc4c53134b937278cb779e58b350afb53","sha256:afebafc1cc743cfcb5fe1c355c75ec478c2772b232f03da50def49dc0962b6c5","redhat","RHEL8","8.5","amd64","566173895","91fafc2abe5d","vulnerability","important","H","8.2","Attack complexity: low,Attack vector: network,Has fix,High severity","CVE-2018-25032","https://access.redhat.com/errata/RHSA-2022:1642","Y","fixed in 1.2.11-18.el8_5","os","zlib","1.2.11-17.el8","zlib and Boost","","","zlib before 1.2.12 allows memory corruption when deflating (i.e., when compressing) if the input has many distant matches.","","",""
"2022-07-26T15:29:54.384Z","62e00872a4be922d1fcd77b6","21.08.514","sc-public-4.cp-cts-twistlock.svc.cluster.local:8183","2022-07-25T16:00:52.609Z","registry.connect.redhat.com/ibm/couchdb3@sha256:6af02557f1f9e12ca4037be71804eb5dc4c53134b937278cb779e58b350afb53","registry.connect.redhat.com","ibm/couchdb3","","sha256:6af02557f1f9e12ca4037be71804eb5dc4c53134b937278cb779e58b350afb53","sha256:afebafc1cc743cfcb5fe1c355c75ec478c2772b232f03da50def49dc0962b6c5","redhat","RHEL8","8.5","amd64","566173895","91fafc2abe5d","vulnerability","important","H","7.1","Attack vector: network,Has fix,High severity,Recent vulnerability","CVE-2022-1271","https://access.redhat.com/errata/RHSA-2022:4991","Y","fixed in 5.2.4-4.el8_6","os","xz-libs","5.2.4-3.el8","Public Domain","","","XZ Utils is an integrated collection of user-space file compression utilities based on the Lempel-Ziv-Markov chain algorithm (LZMA), which performs lossless data compression. The algorithm provides a high compression ratio while keeping the decompression time short.  Security Fix(es):  * gzip: arbitrary-file-write vulnerability (CVE-2022-1271)  For more details about the security issue(s), including the impact, a CVSS score, acknowledgments, and other related information, refer to the CVE page(s) listed in the References section.","","",""
"2022-07-26T15:29:54.384Z","62e00872a4be922d1fcd77b6","21.08.514","sc-public-4.cp-cts-twistlock.svc.cluster.local:8183","2022-07-25T16:00:52.609Z","registry.connect.redhat.com/ibm/couchdb3@sha256:6af02557f1f9e12ca4037be71804eb5dc4c53134b937278cb779e58b350afb53","registry.connect.redhat.com","ibm/couchdb3","","sha256:6af02557f1f9e12ca4037be71804eb5dc4c53134b937278cb779e58b350afb53","sha256:afebafc1cc743cfcb5fe1c355c75ec478c2772b232f03da50def49dc0962b6c5","redhat","RHEL8","8.5","amd64","566173895","91fafc2abe5d","vulnerability","moderate","M","8.1","Attack vector: network,Has fix,Medium severity,Recent vulnerability","CVE-2022-23308","https://access.redhat.com/errata/RHSA-2022:0899","Y","fixed in 2.9.7-12.el8_5","os","libxml2","2.9.7-9.el8_4.2","MIT","","","valid.c in libxml2 before 2.9.13 has a use-after-free of ID and IDREF attributes.","","",""
"2022-07-26T15:29:54.384Z","62e00872a4be922d1fcd77b6","21.08.514","sc-public-4.cp-cts-twistlock.svc.cluster.local:8183","2022-07-25T16:00:52.609Z","registry.connect.redhat.com/ibm/couchdb3@sha256:6af02557f1f9e12ca4037be71804eb5dc4c53134b937278cb779e58b350afb53","registry.connect.redhat.com","ibm/couchdb3","","sha256:6af02557f1f9e12ca4037be71804eb5dc4c53134b937278cb779e58b350afb53","sha256:afebafc1cc743cfcb5fe1c355c75ec478c2772b232f03da50def49dc0962b6c5","redhat","RHEL8","8.5","amd64","566173895","91fafc2abe5d","vulnerability","moderate","M","7.4","Attack vector: network,Has fix,Medium severity,Recent vulnerability","CVE-2022-29824","https://access.redhat.com/errata/RHSA-2022:5317","Y","fixed in 2.9.7-13.el8_6.1","os","libxml2","2.9.7-9.el8_4.2","MIT","","","In libxml2 before 2.9.14, several buffer handling functions in buf.c (xmlBuf*) and tree.c (xmlBuffer*) don\'t check for integer overflows. This can result in out-of-bounds memory writes. Exploitation requires a victim to open a crafted, multi-gigabyte XML file. Other software using libxml2\'s buffer functions, for example libxslt through 1.1.35, is affected as well.","","",""
"2022-07-26T15:29:54.384Z","62e00872a4be922d1fcd77b6","21.08.514","sc-public-4.cp-cts-twistlock.svc.cluster.local:8183","2022-07-25T16:00:52.609Z","registry.connect.redhat.com/ibm/couchdb3@sha256:6af02557f1f9e12ca4037be71804eb5dc4c53134b937278cb779e58b350afb53","registry.connect.redhat.com","ibm/couchdb3","","sha256:6af02557f1f9e12ca4037be71804eb5dc4c53134b937278cb779e58b350afb53","sha256:afebafc1cc743cfcb5fe1c355c75ec478c2772b232f03da50def49dc0962b6c5","redhat","RHEL8","8.5","amd64","566173895","91fafc2abe5d","vulnerability","moderate","M","5.9","Attack vector: network,Has fix,Medium severity,Recent vulnerability","CVE-2021-40528","https://access.redhat.com/errata/RHSA-2022:5311","Y","fixed in 1.8.5-7.el8_6","os","libgcrypt","1.8.5-6.el8","LGPLv2+","","","The ElGamal implementation in Libgcrypt before 1.9.4 allows plaintext recovery because, during interaction between two cryptographic libraries, a certain dangerous combination of the prime defined by the receiver\'s public key, the generator defined by the receiver\'s public key, and the sender\'s ephemeral exponents can lead to a cross-configuration attack against OpenPGP.","","",""
"2022-07-26T15:29:54.384Z","62e00872a4be922d1fcd77b6","21.08.514","sc-public-4.cp-cts-twistlock.svc.cluster.local:8183","2022-07-25T16:00:52.609Z","registry.connect.redhat.com/ibm/couchdb3@sha256:6af02557f1f9e12ca4037be71804eb5dc4c53134b937278cb779e58b350afb53","registry.connect.redhat.com","ibm/couchdb3","","sha256:6af02557f1f9e12ca4037be71804eb5dc4c53134b937278cb779e58b350afb53","sha256:afebafc1cc743cfcb5fe1c355c75ec478c2772b232f03da50def49dc0962b6c5","redhat","RHEL8","8.5","amd64","566173895","91fafc2abe5d","vulnerability","important","H","7.5","Attack complexity: low,Attack vector: network,DoS,Has fix,High severity,Recent vulnerability","CVE-2022-0778","https://access.redhat.com/errata/RHSA-2022:1065","Y","fixed in 1.1.1k-6.el8_5","os","openssl-libs","1.1.1k-4.el8","OpenSSL and ASL 2.0","","","The BN_mod_sqrt() function, which computes a modular square root, contains a bug that can cause it to loop forever for non-prime moduli. Internally this function is used when parsing certificates that contain elliptic curve public keys in compressed form or explicit elliptic curve parameters with a base point encoded in compressed form. It is possible to trigger the infinite loop by crafting a certificate that has invalid explicit curve parameters. Since certificate parsing happens prior to verification of the certificate signature, any process that parses an externally supplied certificate may thus be subject to a denial of service attack. The infinite loop can also be reached when parsing crafted private keys as they can contain explicit elliptic curve parameters. Thus vulnerable situations include: - TLS clients consuming server certificates - TLS servers consuming client certificates - Hosting providers taking certificates or private keys from customers - Certificate authorities parsing certification requests from subscribers - Anything else which parses ASN.1 elliptic curve parameters Also any other applications that use the BN_mod_sqrt() where the attacker can control the parameter values are vulnerable to this DoS issue. In the OpenSSL 1.0.2 version the public key is not parsed during initial parsing of the certificate which makes it slightly harder to trigger the infini","","",""
"2022-07-26T15:29:54.384Z","62e00872a4be922d1fcd77b6","21.08.514","sc-public-4.cp-cts-twistlock.svc.cluster.local:8183","2022-07-25T16:00:52.609Z","registry.connect.redhat.com/ibm/couchdb3@sha256:6af02557f1f9e12ca4037be71804eb5dc4c53134b937278cb779e58b350afb53","registry.connect.redhat.com","ibm/couchdb3","","sha256:6af02557f1f9e12ca4037be71804eb5dc4c53134b937278cb779e58b350afb53","sha256:afebafc1cc743cfcb5fe1c355c75ec478c2772b232f03da50def49dc0962b6c5","redhat","RHEL8","8.5","amd64","566173895","91fafc2abe5d","vulnerability","moderate","M","7.4","Attack vector: network,Has fix,Medium severity,Recent vulnerability","CVE-2021-3712","https://access.redhat.com/errata/RHSA-2021:5226","Y","fixed in 1.1.1k-5.el8_5","os","openssl-libs","1.1.1k-4.el8","OpenSSL and ASL 2.0","","","ASN.1 strings are represented internally within OpenSSL as an ASN1_STRING structure which contains a buffer holding the string data and a field holding the buffer length. This contrasts with normal C strings which are repesented as a buffer for the string data which is terminated with a NUL (0) byte. Although not a strict requirement, ASN.1 strings that are parsed using OpenSSL\'s own 'd2i' functions (and other similar parsing functions) as well as any string whose value has been set with the ASN1_STRING_set() function will additionally NUL terminate the byte array in the ASN1_STRING structure. However, it is possible for applications to directly construct valid ASN1_STRING structures which do not NUL terminate the byte array by directly setting the 'data' and 'length' fields in the ASN1_STRING array. This can also happen by using the ASN1_STRING_set0() function. Numerous OpenSSL functions that print ASN.1 data have been found to assume that the ASN1_STRING byte array will be NUL terminated, even though this is not guaranteed for strings that have been directly constructed. Where an application requests an ASN.1 structure to be printed, and where that ASN.1 structure contains ASN1_STRINGs that have been directly constructed by the application without NUL terminating the 'data' field, then a read buffer overrun can occur. The same thing can also occur during name constraints proc","","",""
